asset_pair,wsname,asset,currency,time,tmsp,open_price,close_price,volume
ADAEUR,ADA/EUR,ADA,EUR,2019-12-31 01:00:00,1577750400,0.029799,0.029217,3630449.43016733
ADAEUR,ADA/EUR,ADA,EUR,2020-01-01 01:00:00,1577836800,0.029165,0.029828,949250.27520163
ADAEUR,ADA/EUR,ADA,EUR,2020-01-02 01:00:00,1577923200,0.029771,0.029322,2920406.11517066
ADAEUR,ADA/EUR,ADA,EUR,2020-01-03 01:00:00,1578009600,0.029283,0.030546,2904702.55654996
ADAEUR,ADA/EUR,ADA,EUR,2020-01-04 01:00:00,1578096000,0.03058,0.0308,1500873.52628767
ADAEUR,ADA/EUR,ADA,EUR,2020-01-05 01:00:00,1578182400,0.030795,0.030895,2897038.46242669
ADAEUR,ADA/EUR,ADA,EUR,2020-01-06 01:00:00,1578268800,0.030887,0.033414,4877877.7419153
ADAEUR,ADA/EUR,ADA,EUR,2020-01-07 01:00:00,1578355200,0.033417,0.033232,8363227.10008467
ADAEUR,ADA/EUR,ADA,EUR,2020-01-08 01:00:00,1578441600,0.033257,0.032806,6682607.96163606
ADAEUR,ADA/EUR,ADA,EUR,2020-01-09 01:00:00,1578528000,0.032715,0.032688,3041688.99864311
ADAEUR,ADA/EUR,ADA,EUR,2020-01-10 01:00:00,1578614400,0.032632,0.033136,5519599.6149502
ADAEUR,ADA/EUR,ADA,EUR,2020-01-11 01:00:00,1578700800,0.033037,0.033012,1857443.80712553
ADAEUR,ADA/EUR,ADA,EUR,2020-01-12 01:00:00,1578787200,0.033012,0.033966,1150290.36892602
ADAEUR,ADA/EUR,ADA,EUR,2020-01-13 01:00:00,1578873600,0.03398,0.033271,1522980.65857762
ADAEUR,ADA/EUR,ADA,EUR,2020-01-14 01:00:00,1578960000,0.03328,0.037413,10587291.6518715
ADAEUR,ADA/EUR,ADA,EUR,2020-01-15 01:00:00,1579046400,0.03706,0.038506,8790143.34898204
ADAEUR,ADA/EUR,ADA,EUR,2020-01-16 01:00:00,1579132800,0.038565,0.037163,4394411.12534692
ADAEUR,ADA/EUR,ADA,EUR,2020-01-17 01:00:00,1579219200,0.037459,0.040579,12931580.22814951
ADAEUR,ADA/EUR,ADA,EUR,2020-01-18 01:00:00,1579305600,0.040579,0.040463,6415694.44919913
ADAEUR,ADA/EUR,ADA,EUR,2020-01-19 01:00:00,1579392000,0.040463,0.03799,6484989.50291607
ADAEUR,ADA/EUR,ADA,EUR,2020-01-20 01:00:00,1579478400,0.038007,0.039501,4387164.84208212
ADAEUR,ADA/EUR,ADA,EUR,2020-01-21 01:00:00,1579564800,0.0395,0.041514,7265053.84384638
ADAEUR,ADA/EUR,ADA,EUR,2020-01-22 01:00:00,1579651200,0.041558,0.04123,2572406.58910449
ADAEUR,ADA/EUR,ADA,EUR,2020-01-23 01:00:00,1579737600,0.041243,0.039161,5391230.46344441
ADAEUR,ADA/EUR,ADA,EUR,2020-01-24 01:00:00,1579824000,0.039021,0.040695,5183385.86284338
ADAEUR,ADA/EUR,ADA,EUR,2020-01-25 01:00:00,1579910400,0.040847,0.039125,2375196.48638547
ADAEUR,ADA/EUR,ADA,EUR,2020-01-26 01:00:00,1579996800,0.039125,0.040389,3221774.5280096
ADAEUR,ADA/EUR,ADA,EUR,2020-01-27 01:00:00,1580083200,0.0405,0.04321,9287206.67917116
ADAEUR,ADA/EUR,ADA,EUR,2020-01-28 01:00:00,1580169600,0.04327,0.04796,19006850.08164753
ADAEUR,ADA/EUR,ADA,EUR,2020-01-29 01:00:00,1580256000,0.048021,0.0483,20481120.15016827
ADAEUR,ADA/EUR,ADA,EUR,2020-01-30 01:00:00,1580342400,0.0483,0.05078,11431622.452974
ADAEUR,ADA/EUR,ADA,EUR,2020-01-31 01:00:00,1580428800,0.0506,0.048613,6536298.60130147
ADAEUR,ADA/EUR,ADA,EUR,2020-02-01 01:00:00,1580515200,0.048585,0.050641,7464436.26701693
ADAEUR,ADA/EUR,ADA,EUR,2020-02-02 01:00:00,1580601600,0.050645,0.0502,11639531.12339544
ADAEUR,ADA/EUR,ADA,EUR,2020-02-03 01:00:00,1580688000,0.050332,0.051677,8176291.96485036
ADAEUR,ADA/EUR,ADA,EUR,2020-02-04 01:00:00,1580774400,0.0517,0.050701,11196994.3564473
ADAEUR,ADA/EUR,ADA,EUR,2020-02-05 01:00:00,1580860800,0.050732,0.053681,11725292.01296546
